t,x,v,a,id,length,lane,oldLane,pos,event
126.0,2079.61,45.3585,-0.049920741732133386,6,5,,,1079.61,end
126.0,1578.38,46.9168,-0.04380976155258951,7,5,3,,578.38,timer
126.0,991.8,45.742,0.01703493877574186,8,4,2,,991.8,timer
126.0,499.83,51.2385,-0.012611851799152678,9,6,2,,499.83,timer
127.39929271524996,0,41.42784589117854,0,10,6,2,,0,enter lane
127.39929271524996,1055.82,45.7658,0.01703493877574186,8,4,2,,1055.82,leave lane
127.39929271524996,1055.82,45.7658,0.01703493877574186,8,4,3,,55.819999999999936,enter lane
128.0,1672.13,46.8292,-0.04380976155258951,7,5,3,,672.13,timer
128.0,1083.31,45.776,0.01703493877574186,8,4,3,,83.31,timer
128.0,602.27,51.2048,-0.0210197529985878,9,6,2,,602.27,timer
128.0,24.89,41.4293,0.004794988657841755,10,6,2,,24.89,timer
130.0,1765.7,46.7416,-0.04380976155258951,7,5,3,,765.7,timer
130.0,1174.9,45.8101,0.01703493877574186,8,4,3,,174.9,timer
130.0,704.63,51.1544,-0.029427654198022915,9,6,2,,704.63,timer
130.0,107.77,41.4549,0.020759465132725738,10,6,2,,107.77,timer
132.0,1859.1,46.654,-0.04380976155258951,7,5,3,,859.1,timer
132.0,1266.55,45.8442,0.01703493877574186,8,4,3,,266.55,timer
132.0,806.87,51.0871,-0.03783555539745803,9,6,2,,806.87,timer
132.0,190.73,41.5124,0.03672394160760972,10,6,2,,190.73,timer
134.0,1952.32,46.5664,-0.04380976155258951,7,5,3,,952.32,timer
134.0,1358.27,45.8783,0.01703493877574186,8,4,3,,358.27,timer
134.0,908.96,51.003,-0.04624345659689315,9,6,2,,908.96,timer
134.0,273.84,41.6018,0.05268841808249371,10,6,2,,273.84,timer
136.0,2045.37,46.4788,-0.04380976155258951,7,5,3,,1045.37,leave lane
136.0,2045.37,46.4788,-0.04380976155258951,7,5,,,1045.37,end
136.0,1450.06,45.9124,0.01703493877574186,8,4,3,,450.06,timer
136.0,1010.87,50.9081,-0.047504447549890944,9,6,2,,1010.87,leave lane
136.0,1010.87,50.9081,-0.047504447549890944,9,6,3,,10.870000000000005,enter lane
136.0,1010.87,50.9081,-0.047504447549890944,9,6,3,,10.870000000000005,timer
136.0,357.16,41.7192,0.060701414709931435,10,6,2,,357.16,timer
138.0,1541.92,45.9465,0.01703493877574186,8,4,3,,541.92,timer
138.0,1112.59,50.8131,-0.047504447549890944,9,6,3,,112.59,timer
138.0,440.72,41.8406,0.060701414709931435,10,6,2,,440.72,timer
